line,provider,source,status,score,dns_preflight,diagnostic_stages
1,anime-ultime,gowaru,reachable,75,inconclusive,provider_reachable_http_error | content_not_found_or_parser_failed | content_not_found_or_parser_failed | provider_reachable_http_error | provider_reachable_http_error | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed
2,anime-sama,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
3,animesama-co,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
4,animesultra,gowaru,reachable,75,inconclusive,provider_reachable_http_error | content_not_found_or_parser_failed | provider_reachable_http_error | provider_reachable_http_error | content_not_found_or_parser_failed | content_not_found_or_parser_failed
5,animevostfr,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
6,animoflix,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
7,coflix,gowaru,reachable,75,inconclusive,content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed
8,dulourd,gowaru,no_streams,10,inconclusive,provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error
9,flemmix,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
10,french-manga,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
11,voiranime-homes,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
12,frenchstream,gowaru,reachable,75,inconclusive,content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed
13,movix,gowaru,no_streams,10,inconclusive,provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_unreachable_or_runtime_error | provider_unreachable_or_runtime_error | provider_reachable_http_error | provider_reachable_http_error | provider_unreachable_or_runtime_error | provider_reachable_http_error
14,mugiwarastream,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
15,sekai,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
16,voiranime,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
17,voiranime-rip,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
18,vostfree,gowaru,reachable,75,inconclusive,provider_reachable_http_error | content_not_found_or_parser_failed | provider_reachable_http_error | provider_reachable_http_error | content_not_found_or_parser_failed | content_not_found_or_parser_failed
19,nakios,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
20,papadustream,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
21,wookafr,gowaru,reachable,75,inconclusive,content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed
22,streamzo,gowaru,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
23,waveanime,gowaru,no_streams,10,inconclusive,provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error
24,allanime,aio,reachable,75,inconclusive,content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed
25,4khdhub,aio,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
26,4khdhubnew,aio,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
27,allwish,aio,no_streams,10,no_provider_domain_detected,provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error | provider_reachable_http_error
28,animekai,aio,no_streams,10,inconclusive,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
29,anikototv,aio,reachable,75,inconclusive,content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed | content_not_found_or_parser_failed
30,anidb,aio,no_streams,10,no_provider_domain_detected,content_not_found | content_not_found | content_not_found | content_not_found | content_not_found | content_not_found
