round,line,parent_key,profile,attempt_status,baseline_status,baseline_score,repair_sha256,outcome,retest_status,retest_score,reason,runtime_error_visible,exact_exception_preserved_by_old_job
1,1,gowaru:anime-ultime,metadata_context_recovery,generated,no_streams,10,f4764da821cbba42491341c4b41d05aec424d84b8ad5063167b254fc1018177f,accepted,reachable,75,strict_runtime_improvement,no,
1,2,gowaru:anime-sama,metadata_context_recovery,generated,no_streams,10,b8e9e64ee4e12cbf36f889da3741bb264b7d0bb696886041f396037ef9ef31de,rejected,no_streams,10,no_strict_runtime_improvement,no,
1,3,gowaru:animesama-co,metadata_context_recovery,generated,no_streams,10,51d8607d3baffece0f3b931e649c6e46672e5170d90599c4810476cc33eb69c7,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,4,gowaru:animesultra,metadata_context_recovery,generated,no_streams,10,da648713e99ec49e7242fe5220f14fad8998d158969a78a80f7ca04b1932f3bf,accepted,reachable,75,strict_runtime_improvement,no,
1,5,gowaru:animevostfr,metadata_context_recovery,generated,no_streams,10,c8c7653ffe1cd08edbafb4dd2fb22d910d11bc21ba96c8e60a6c230d362ecd5f,rejected,no_streams,10,no_strict_runtime_improvement,no,
1,6,gowaru:animoflix,metadata_context_recovery,generated,no_streams,10,5a02cf93aaf6c1a8b2b3bf8c1e87885a0a505bca97eaf82bd059d4bfc030a22a,rejected,no_streams,10,no_strict_runtime_improvement,no,
1,7,gowaru:coflix,metadata_context_recovery,generated,no_streams,10,b35fd77ec78a818af314dca9ad5a218325b83d9bf2d05673b720f1adb91c70c5,accepted,reachable,75,strict_runtime_improvement,no,
1,8,gowaru:dulourd,metadata_context_recovery,generated,no_streams,10,0c7922ffb66dafca8efe9e997737d0ecb58bb577039efba2c43102fd74f0e46c,accepted,no_streams,10,strict_runtime_improvement,no,
1,9,gowaru:flemmix,metadata_context_recovery,generated,no_streams,10,0421901c464193c978ed3d2530f9ba5361e23f7631b0ad98a633175b406eb813,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,10,gowaru:french-manga,metadata_context_recovery,generated,no_streams,10,48eeecdc48b188414bca20999e453963072a661378480ab7dad4919b513fa605,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,11,gowaru:voiranime-homes,metadata_context_recovery,generated,no_streams,10,ae06acc62b2101514a94609cdf21933e9f0061f63773dedaa4f014af14a0f0dc,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,12,gowaru:frenchstream,metadata_context_recovery,generated,no_streams,10,a5c195a42e4408c02e03c1d7d14793b16c9f60cc0ab049733c4a7d48739c6499,accepted,reachable,75,strict_runtime_improvement,no,
1,13,gowaru:mugiwarastream,metadata_context_recovery,generated,no_streams,10,9d347cd100f038e4b81b38d46b5ac2628927256b49f8332188226ceeb1b74a0e,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,14,gowaru:sekai,metadata_context_recovery,generated,no_streams,10,1524aeb02e55cd7b9b21512b834b2ecf9c5d30972e295d89ec0c320d8e99ec3e,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,15,gowaru:voiranime,metadata_context_recovery,generated,no_streams,10,19e1a237e0a916673779573082e72ca25f67f0983c7d0fa83df261dae9bd7db5,rejected,no_streams,10,no_strict_runtime_improvement,no,
1,16,gowaru:voiranime-rip,metadata_context_recovery,generated,no_streams,10,65646cebdb89cf425b5ccb7ac1725701a7769584c0941fef5eee9cb2365b60e2,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,17,gowaru:vostfree,metadata_context_recovery,generated,no_streams,10,2011c7c68c75701b19fae3d693c34d861298390eb561f1a0f380db8bc66b2ed2,accepted,reachable,75,strict_runtime_improvement,no,
1,18,gowaru:wookafr,metadata_context_recovery,generated,no_streams,10,e466902f16f09726a4fdca65c92f11ff2b207a4d599d66652e1865668e50f66e,accepted,reachable,75,strict_runtime_improvement,no,
1,19,gowaru:streamzo,metadata_context_recovery,generated,no_streams,10,176c5afefafc9684d16a6752050df36ca716761738a1539f7c63e6e3220870e9,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
1,20,gowaru:waveanime,metadata_context_recovery,generated,no_streams,10,ddb3016b783859b3be9bedcf012516ebcd5640ffa52d06f71b12102b98d8c576,accepted,no_streams,10,strict_runtime_improvement,no,
1,21,published:flemmix,metadata_context_recovery,not_generated,no_streams,10,,not_retested,,,structural_profile_made_no_change,no,
1,22,published:frenchstream,metadata_context_recovery,not_generated,no_streams,10,,not_retested,,,structural_profile_made_no_change,no,
1,23,published:animoflix,metadata_context_recovery,generated,no_streams,10,95ae8616efa9c9216469fe573f4b05bbeca39422c0530db36167b0d6617df99f,rejected,no_streams,10,no_strict_runtime_improvement,no,
2,1,gowaru:anime-sama,metadata_context_recovery,generated,no_streams,10,b8e9e64ee4e12cbf36f889da3741bb264b7d0bb696886041f396037ef9ef31de,rejected,no_streams,10,no_strict_runtime_improvement,no,
2,2,gowaru:animesama-co,metadata_context_recovery,generated,no_streams,10,51d8607d3baffece0f3b931e649c6e46672e5170d90599c4810476cc33eb69c7,rejected,runtime_error,0,hard_failure:runtime_error,yes,no
2,3,gowaru:animevostfr,metadata_context_recovery,generated,no_streams,10,c8c7653ffe1cd08edbafb4dd2fb22d910d11bc21ba96c8e60a6c230d362ecd5f,rejected,no_streams,10,no_strict_runtime_improvement,no,
