rank,market,languages,name,content,tier,score,max_resolution,quality_tier,hdr,multi_audio,original_audio,quality_confidence,access_model,route,hub,hub_type,note,source_url
15,Allemagne,de,S.TO,"tv,anime",A,97,0,HD/unknown,False,False,False,,,https://serienstream.to/,https://serien.domains/,status-domains,Strong candidate: stable domain/status hub is explicitly available.,https://fmhy.net/non-english
19,Allemagne,de,Aniworld,anime,A,96,0,HD/unknown,False,False,False,,,https://aniworld.to/,https://aniworld.domains/,status-domains,Strong candidate: stable domain/status hub is explicitly available.,https://fmhy.net/non-english
46,Allemagne,de,Kinoger,"movie,tv",A,90,0,HD/unknown,False,False,False,,,https://kinoger.com/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
86,Argentine,es,Cine.Ar Play,"movie,tv",B,83,0,HD/unknown,False,False,False,,,https://play.cine.ar/,,official,Official Argentine catalogue; useful country coverage and metadata quality.,https://fmhy.net/non-english
92,Argentine,es,Cinemargentino,"movie,documentary",C,79,0,HD/unknown,False,False,False,,,https://www.cinemargentino.com/,,official/archive,Argentine film/documentary catalogue; lower breadth but useful coverage.,https://fmhy.net/non-english
35,Bangladesh,bn,jadoocinema,"movie,tv",A,91,0,HD/unknown,False,False,False,,,https://jadoocinema.net/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
100,Bangladesh,bn,MLSBD,"movie,tv",C,72,0,HD/unknown,False,False,False,,,https://mlsbd.co/,,download-index,Secondary candidate used to preserve Bangladesh coverage; verify streamability before onboarding.,https://fmhy.net/non-english
4,Brésil,"pt-BR,en/VO",StarflickTV,"movie,tv,anime",A,99,2160,4K/UHD,False,True,True,high,subscription-web,https://starflicktv.com/,,direct,"Movies, series and anime in HD/4K with Brazilian Portuguese dubbing/subtitles; auth model to evaluate.",https://starflicktv.com/
26,Brésil,pt-BR,redecanais,"movie,tv,anime",A,93,0,HD/unknown,False,False,False,,,https://redecanais.af/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
47,Brésil,pt-BR,AnimeFire,anime,A,90,0,HD/unknown,False,False,False,,,https://animefire.plus/,,direct,"Curated candidate; validate identity, catalogue route and playable media before onboarding.",https://fmhy.net/non-english
